S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
696,Motomachi Japanese Restaurant & Patisserie, Read Reviews,4,144,"
Motomachi Restaurant is a unique concept which aims to bring the taste of Japan to Dubai. It has both indoor and outdoor seating areas with views of old and new Dubai. They offer the most authentic Japanese food in Dubai, cooked and served by an all-Japanese staff. Once you step into the restaurant, you will instantly feel whisked away by the charms of Japan. Less
",http://www.motomachirestaurant.com,"
Warehouse 17, 21 Street, Al Quoz Industrial Area 4 ","
Al Quoz ","
+971 4 323 2123 ",Dubai Festival City,https://www.theentertainerme.com/outlets/motomachi-japanese-restaurant-patisserie/detail?o=33219&m=19883
697,Motorino,Italian,5,298,"
Motorino is the world-famous New York pizzeria that is ""stalked by fame"" and renowned as ""the best pizza in New York"". Loved by celebrities, foodies and savvy locals, the iconic urban venue has since expanded to 9 locations worldwide from Hong Kong to Singapore and now finally to Dubai at JA Ocean View Hotel on The Walk, Jumeirah Beach Residence. The 120-seat pizzeria is a fully licenced social spot that invites diners to ponder the moreish mysteries of artisanal pizza-pie perfection. Less
",http://www.motorinodubai.com,"
1st Level ","
Jumeirah Beach Residence ","
+971 4 814 5591 ",JA Ocean View Hotel,https://www.theentertainerme.com/outlets/motorino/detail?o=83164&m=48604
698,Mr Toad's Pub & Kitchen,British,4.5,72,"
Mr. Toad’s is a friendly pub and kitchen catering to the local community and beyond, extending a warm welcome to all. The menu caters to tastes across the culinary spectrum, with promotional evenings and themed events that create a vibrant atmosphere. Mr Toad’s Pub & Kitchen has a casual, comfortable atmosphere with a relaxed interior and family friendly playgrounds, perfect for an after-work pit stop or an evening out with friends. Less
",,"
Dubai International Airport, Opposite Terminal 3, Access Via Street 52b ","
","
+971 4 294 2198 ",Premier Inn Hotel,https://www.theentertainerme.com/outlets/mr-toad-s-pub-kitchen/detail?o=14991&m=8671
699,Mr Toad's Pub & Kitchen - Dragon Mart,,0,0,,,"
Ground Level ","
","
+971 4 525 0813 ",Dragon Mart,https://www.theentertainerme.com/outlets/mr-toad-s-pub-kitchen-dragon-mart/detail?o=93103&m=53418
700,Muay Thai Kitchen,,0,0,,,"
Kitchen Park, RBC Tower ","
","
+971 4 276 6340 ",Business Bay,https://www.theentertainerme.com/outlets/muay-thai-kitchen/detail?o=94146&m=53525
701,Muchachas,Mexican,0,0,"
Hidden in the burbs, far away from the hustle and bustle of Dubai where the music is vivacious, the ambience is effortlessly unassuming and the good vibes are palpable, Muchachas Mexican Cantina is located on the ground level of Holiday Inn Express Safa Park in Al Wasl. It serves Mexican-fiesta food made for sharing and punchy, vibrant drinks. The Muchachas experience is a vibrant combination of quirky interiors and neon lights, a social communal layout that embraces sharing. Less
",http://www.muchachasdubai.com,"
Ground Level ","
Al Wasl ","
+971 4 327 5878 ","Holiday Inn Express Dubai, Safa Park",https://www.theentertainerme.com/outlets/muchachas/detail?o=65400&m=37976
702,Musallam Grill,,0,0,,,"
Delivery only: Ground Level ","
","
+971 6 543 8367 ",Sharjah,https://www.theentertainerme.com/outlets/musallam-grill/detail?o=93963&m=53593
703,My Square, Read Reviews,4.5,1460,"
My Square is a modern restaurant featuring a bistro-style set-up, an outdoor terrace, a bar and live cooking stations that provide engagement with our chefs. The all-day-dining concept offers a wide variety of dishes including Middle Eastern favourites, Chinese flavours, Indian specialties and International cuisine. Enjoy a breakfast buffet, business lunch or themed dinner with live cooking options from the grill. A salad bar, sushi station and a wide selection of desserts are available to suite every palate. Less
",http://doubletree3.hilton.com/en/hotels/uae/doubletree-by-hilton-dubai-business-bay-DXBBBDI/index.html,"
Plaza Level ","
Business Bay ","
+971 4 245 4266 ",Business Bay,https://www.theentertainerme.com/outlets/my-square/detail?o=36911&m=22086
704,Nama,International,0,0,"
 Located on the ground level of the resort, this spacious, naturally lit all-day-dining restaurant treats you to a different experience for every meal. Start the day right with a delectable International buffet at Nama. For lunch and dinner, dig into a superb selection of delicious dishes, plus an à la carte menu with a Levantine twist. The modern, open-plan design of Nama features an outdoor patio where you can enjoy captivating panoramas of the Indian Ocean. Less
",http://fujairah.intercontinental.com,"
Ground Level ","
Fujairah ","
+971 9 209 9999 ",InterContinental Fujairah Resort,https://www.theentertainerme.com/outlets/nama/detail?o=62417&m=36562
705,Nando's - Dubai,,0,0,"
In 1987, in a small town in South Africa, Nando's was born. Using a Portuguese recipe and the African Birds Eye Chilli, the now world famous flame-grilled PERi-PERi was created. Our South African heritage is infused into our casa's interiors, our artworks and even our Afro-Luso music, creating our welcoming family atmosphere and, of course, your favourite PERi-PERi chicken! Less
",http://www.nandos.ae,"
Lower Ground Level Food Court ","
Downtown Dubai  ","
+971 4 434 0190 ",The Dubai Mall,https://www.theentertainerme.com/outlets/nando-s-dubai/detail?o=2211&m=1390
706,Nar Shisha Lounge,Middle Eastern,0,0,"
Nar Shisha Lounge offers authentic flavours from the Mediterranean cuisine for breakfast, lunch and dinner. With hard work over the years, they have perfected the best recipes and techniques. Complete your meal with a wide selection of top hubbly bubbly flavours. Less
",,"
Ground Level ","
","
+971 4 344 3749 ",City Walk,https://www.theentertainerme.com/outlets/nar-shisha-lounge/detail?o=3515&m=2110
707,NARA Pan Asian,,0,0,"
Nara Pan Asian is an eclectic assortment of contemporary Asian-themed dishes, prepared with authenticity and served amidst a funky and fully licensed casual lounge-style ambience in bustling Jumeirah Lakes Towers. Less
",http://www.naradxb.co,"
Cluster A, Next to Movenpick Hotel ","
Jumeirah Lakes Towers ","
+971 4 421 1356 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/nara-pan-asian/detail?o=56225&m=32839
708,Nathalie's, Read Reviews,3.5,22,"
If smoothie bowls or vibrant salads aren’t your thing, the breakfast burrito or Nathalie’s burger won’t disappoint! At Nathalie’s, they love food. Simple food - honest and healthy, from natural and wholesome ingredients. They also love coffee, tea, cakes and raw desserts. Tucked away in Sports City, the café’s understated décor and quirky yet stylish character makes it an ideal meeting place for families or a few friends, whether over a shake or a soulful feast of nourishing food. Less
",http://www.nathalies.ae,"
Ground Level, Inside Fit Republik ","
Dubai Sports City ","
+971 4 556 1888 ",Dubai Sports City,https://www.theentertainerme.com/outlets/nathalie-s/detail?o=19023&m=11481
709,Neighbourhood,British,5,16,"
Neighbourhood is a casual social house and eatery. A popular hub for the local community to get together, the venue combines trendy industrial interiors with an outdoor terrace complete with panoramic views, overlooking the lake and luscious greenery of the nearby Green Community. The menu features British gastro-pub favourites, including great roasts, fish & chips and an extensive selection of delicious desserts. Less
",http://marriottdiningatcy.ae,"
1st Level ","
Green Community ","
+971 4 885 2222 ",Courtyard by Marriott Dubai Green Community,https://www.theentertainerme.com/outlets/neighbourhood/detail?o=43970&m=25943
710,Nelson's,International,4.5,525,"
A modern interpretation of the classic Victorian epoch, Nelson’s is just what the neighbourhood needed! Everything feels bright and new, including a menu of designer hops, upscale snacks and a sumptuous Friday brunch. A giant video screen and a top-notch sound system give the place a warm and relaxed vibe. Live watching of English Premier League and other major sports’ events, an extended happy hour and DJs spinning the deck will ensure this pub is a place to see and be seen. Less
",http://www.rotana.com,"
Lobby Level ","
Barsha Heights ","
+971 4 435 0201 ",Media Rotana,https://www.theentertainerme.com/outlets/nelson-s/detail?o=1793&m=1138
711,New Castello Restaurant & Caffe, Read Reviews,4,24,"
Indulge yourself in the world of the unique flavours and gastronomical amenities at New Castello Restaurant & Caffe. The magnificent environment and the delicious flavours will charm and capture you forever. Cuisine includes Arabic, Lebanese, Italian, Indian grills and Mediterranean tastes with an emphasis on the flavourings and use of fresh ingredients. Enjoy fresh juices, in-house beverages and the choice of hubbly bubbly in a serene atmosphere. Less
",,"
Ground Level ","
","
+971 4 886 2686 ",Mazaya Centre,https://www.theentertainerme.com/outlets/new-castello-restaurant-caffe/detail?o=52442&m=30267
712,New Shanghai, Read Reviews,4.5,101,"
New Shanghai originally hails from Australia and serves up a delicious range of more than 80 Chinese dishes. Highlights on the menu include mouthwatering dumplings, wontons, a range of beef chicken and seafood dishes and, of course, the restaurant’s signature xiao long bao. Less
",http://newshanghaime.com,"
Lower Ground Level, Near Fountain ","
Downtown Dubai ","
+971 4 224 6819 ",The Dubai Mall,https://www.theentertainerme.com/outlets/new-shanghai/detail?o=78383&m=45452
713,New York Fries,,0,0,"
NYF is the ideal “food on the go”. As a ""fry specialist"", we offer a variety of toppings for our fries like Mexican salsa, veggie, spicy, sweet & sour imli, beef or chicken chilli, braised beef and butter chicken. We offer different choices of sauce and dips such as cheese, chilli, imli, salsa and labneh. Our portion sizes are generous and our prices are reasonable making NYF an affordable indulgence. Less
",http://www.nyfme.com,"
1st Level, Food Court ","
Al Mizhar ","
+971 4 284 5523 ",Arabian Center,https://www.theentertainerme.com/outlets/new-york-fries/detail?o=59184&m=34521
714,Nido, Read Reviews,5,356,"
Nido is Dubai’s answer to a speak-easy, tapas restaurant and bar. The 12-table, 70-seater venue offers a casual dining experience based around the traditional and much celebrated Spanish snack of tapas. Located on level five within the Sheraton Grand Hotel on Sheikh Zayed Road, Nido is the perfect place to meet with friends for a laid back and authentic Spanish dining experience. Less
",,"
5th Level ","
","
+971 4 333 3055 ","Sheraton Grand Hotel, Dubai",https://www.theentertainerme.com/outlets/nido/detail?o=84341&m=48969
715,Nine7One,International,0,0,"
Nine 7 One is an eclectic restaurant with a multitude of Arabic, Asian and Western culinary options that will satisfy diverse and discerning palates. The restaurant, with an abundance of natural light, overlooks a courtyard with outdoor seating and a large water feature. For a sophisticated yet casual dining experience or for an elaborate Friday brunch, Nine 7 One is not to be missed. Less
",http://www.oberoihotels.com,"
Lower Lobby Level ","
Business Bay ","
+971 4 444 1407 ","The Oberoi, Dubai",https://www.theentertainerme.com/outlets/nine7one/detail?o=753&m=493
716,Nineteen,Mediterranean,4.5,209,"
Drenched in natural sunlight, Nineteen welcomes to spacious interiors, a relaxed drink area and a terrace overlooking the stunning championship golf course of the Address Montgomerie. Chef De Cuisine Giuliano Berta brings to the menu a fresh new Mediterranean concept. Enjoy the sharing platters as the new menu will boast dishes with bold flavours, colours and garden picked ingredients. With a vast beverage menu, Nineteen perfectly defines a relaxed summer afternoon surrounded by lush greenery in the midst of Dubai. Less
",http://www.theaddress.com/en/hotels/the-address-montgomerie-dubai/dining/nineteen,"
Lobby Level ","
Emirates Hills ","
+971 4 888 3444 ",Address Montgomerie,https://www.theentertainerme.com/outlets/nineteen/detail?o=754&m=494
717,Nippon Bottle Co.,Bar Food,4.5,130,"
Nippon Bottle Co. is an eclectic bar and lounge which has just opened its doors to the city’s most discerning guests - the after-dark drink connoisseurs.  Less
",,"
Lobby Level ","
","
+971 4 317 4458 ",Dusit Thani Dubai,https://www.theentertainerme.com/outlets/nippon-bottle-co/detail?o=21707&m=12961
718,Noir, Read Reviews,4.5,144,"
Imagine stepping through a set of doors, shutting out one world and immersing into a decadent enchanting space. A place where rich eclectic artworks, sourced from around the world, hang above dark plush furnishings and luxe fixtures. This is Noir - the desirable provocative new lounge and cocktail bar at Kempinski Hotel Mall of the Emirates. Less
",http://www.kempinski.com/dubai,"
2nd Level ","
Al Barsha ","
+971 4 409 5222 ",Kempinski Hotel Mall of the Emirates,https://www.theentertainerme.com/outlets/noir/detail?o=39681&m=23416
719,Nojoom Lounge,,0,0,,https://www.hmhhotelgroup.com/en/uae/ajman/bahi-ajman-palace-hotel/dining,"
2nd Level ","
Ajman ","
+971 50 634 2054 ",Bahi Ajman Palace Hotel,https://www.theentertainerme.com/outlets/nojoom-lounge/detail?o=92784&m=53163
720,Nomad,International,4,262,"
This Puccini-designed restaurant blends expert culinary skills with atmospheric décor, creating a vibrant, one-of-a-kind eatery at Dubai Creekside. The versatile menu is designed to impress even the most discerning tastes and the open-plan kitchen offers the ultimate International dining experience. Roll up the sleeves, kick back and tuck into the feast at Nomad. The laid-back, open-air terrace is the perfect setting for friends to gather and enjoy flame-grilled steaks and rustic fayre, to the backdrop of a live acoustic singer. Less
",http://www.jumeirah.com/creekside,"
Ground Level ","
Al Garhoud ","
+971 4 230 8571 ",Jumeirah Creekside Hotel,https://www.theentertainerme.com/outlets/nomad/detail?o=1456&m=928
721,Noodles Woodles,International,0,0,"
Noodles Woodles offers tasty and original pasta with an oriental touch. It specialises in traditional Asian dishes, which are perfect for a family dinner or for a date with your beloved. You'll find Asian soups and noodles with all kinds of original and yummy ingredients. Discover the exotic flavours of the Far East without leaving your home. Enjoy fresh, healthy, gourmet, traditional Japanese ramen in the UAE. It offers the best noodles with only original and fresh ingredients, diligently prepared. Less
",,"
Delivery only: Inside Shokuji Sushi Restaurant, Shop 38, Al Wasl Road, Jumeirah 1 ","
","
+971 2 671 0355 ",Wasl Vita Mall,https://www.theentertainerme.com/outlets/noodles-woodles/detail?o=82811&m=48436
722,Noodlii,,0,0,,,"
Ground Level, Rimal 5 Building ","
","
+971 4 428 1375 ",Jumeirah Beach Residence,https://www.theentertainerme.com/outlets/noodlii/detail?o=89794&m=51742
723,Nosh,International,4,245,"
Nosh has theme nights & Friday brunches with daily changing live stations, a tandoori station, a live rotisserie and sushi & sashimi counter, all set for a modern vibrant fusion. Enjoy indoor or alfresco seating, overlooking the waterside walkways and Jumeirah Lakes Towers. Daily Theme Nights: Sat - Sun: 6:30pm - 10:30pm; Fri Brunch: 12:30pm - 3:30pm Less
",http://www.movenpick.com/jumeirahlakestowers,"
Cluster A, Ground Level ","
Jumeirah Lakes Towers ","
+971 4 438 0000 ",Mövenpick Hotel Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/nosh/detail?o=1458&m=930
724,Nuevo Restaurant,,0,0,,,"
2nd Level ","
","
+971 4 525 0811 ",Dragon Mart,https://www.theentertainerme.com/outlets/nuevo-restaurant/detail?o=93109&m=53417
725,NYC Smashed Burgers,,0,0,,,"
Ground Level, Jebel Ali ","
","
+971 4 571 9735 ",The Manor by JA,https://www.theentertainerme.com/outlets/nyc-smashed-burgers/detail?o=92717&m=52535
726,O'Doner,Turkish,4,33,"
Using the best meat from our fine resources around the world, we passionately pair them with classic European fillings and bring to you an authentic döner. This is an experience that is bound to take you to the famous Bursa and back. O’Döner is committed to bringing to you authentic and fresh gourmet kebabs, you can pick our freshly baked bread straight from our oven and top it with succulent, juicy meat dressed in our signature O’Döner sauces.
Opening Hours: 9:30am - 11:30pm Less
",http://www.odoner.com,"
B2 Level, Golden Mile 2 ","
The Palm Jumeirah ","
+971 4 276 9833 ",Golden Mile,https://www.theentertainerme.com/outlets/o-doner/detail?o=29665&m=18507
727,O'Pao Indian Sliders, Read Reviews,4.5,47,"
Inspired by Mumbai’s most popular street food, O’Pao is a budget-friendly concept serving delicious Indian sliders with a gourmet twist, mouthwatering snacks and decadent desserts. The menu scrumptiously packs vegetarian and non-vegetarian flavours into their freshly baked local and potato paos (buns), topped with signature sauces and condiments - guaranteed to take your culinary experience to the next level. O’Pao has also introduced a tantalising new Indo-Chinese menu to give customers an opportunity to experience tastes that remind them of home. Less
",https://opaodxb.com,"
Al Muheri Building, Ground Level, Behind Park Regis Hotel ","
Al Karama ","
+971 4 349 6726 ",Al Karama,https://www.theentertainerme.com/outlets/o-pao-indian-sliders/detail?o=87432&m=50315
728,Observatory Bar & Grill,Steakhouse,4.5,1553,"
A popular venue for romantic, candlelit dinners, for happy hours and sunsets or simply a place to enjoy classic dishes and crafted beverages with friends, the Observatory Bar & Grill is a well-known Dubai favourite. Highlighting the combination of a vibrant bar and an exciting restaurant with exceptional service, great food and beverages, the restaurant has one of the best 360 panoramic views of Dubai Marina and Palm Jumeirah. Less
",http://www.marriottharbourdubaidining.com,"
52nd Level ","
Dubai Marina ","
+971 4 319 4000 ",Dubai Marriott Harbour Hotel & Suites,https://www.theentertainerme.com/outlets/observatory-bar-grill/detail?o=855&m=589
729,Oceana Dubai,International,4,209,"
All-day dining has never been this delicious. Oceana’s kitchen brigade serves up an impressive International buffet and creative theme nights throughout the week. There are live cooking stations, a rotisserie grill and a traditional pizza oven, ensuring there is something for the whole family to enjoy. Less
",http://www.dubaijumeirah.hilton.com,"
Ground Level ","
Jumeirah Beach Residence ","
+971 4 318 2319 ",Hilton Dubai Jumeirah,https://www.theentertainerme.com/outlets/oceana-dubai/detail?o=1195&m=787
730,Off The HOOK - Dubai,Seafood,4,68,"
Off the Hook is a casual dining restaurant with branches in Abu Dhabi and Dubai. It offers a unique dining experience where the word “healthy” is a matter of great importance. Off the Hook takes pride in preparing sumptuous meals in their most natural form possible. Rest assured you will be eating real food, minimally processed, refined and handled - something your palate will enjoy and your body will be happy to absorb. Less
",http://www.othrestaurant.com,"
Ground Level, G5 Centurion Start Building, Port Saeed ","
Deira ","
+971 4 295 4008 ",Deira,https://www.theentertainerme.com/outlets/off-the-hook-dubai/detail?o=48023&m=27860
731,Offside,Bar Food,0,0,"
Offside is fanatical about what it does. Our aim is clear - to offer the best live sports that cover EPL, F1, rugby, cricket, basketball, ice hockey or NFL on the biggest indoor screen in JBR and Dubai Marina. Our location, atmosphere, drinks and mouthwatering food selection is where you can mix it with friends, the local community or just hang out playing pool or darts. With a resident DJ, quiz nights, pool & darts competitions and so much more, have your shout at Dubai’s best sports bar. Less
",http://offsidedubai.com,"
2nd Level ","
Jumeirah Beach Residence ","
+971 4 814 5590 ",JA Ocean View Hotel,https://www.theentertainerme.com/outlets/offside/detail?o=8498&m=4623
732,Olea Dubai,Arabic,4.5,450,"
Offering a new take on Arabic cuisine, Olea is a contemporary modern Levantine restaurant which celebrates the tastes, ingredients and aromas from the six nations, namely Syria, Palestine, Jordan, Southern Turkey, Lebanon and Cyprus. From the live open kitchen, Olea’s chefs serve up an authentic experience with an array of freshly prepared dishes from the el homos Beiruti of Lebanon and nayeh (raw meat) selection of Syria to the Sultan Ibrahim of Cyprus and soft kunafa of Palestine. Less
",https://www.kempinski.com/en/dubai/mall-of-the-emirates/dining/culinary-highlights/olea-brunch/,"
2nd Level ","
Al Barsha ","
+971 4 409 5999 ",Kempinski Hotel Mall of the Emirates,https://www.theentertainerme.com/outlets/olea-dubai/detail?o=20515&m=12378
733,OLearys Sports Restaurant, Read Reviews,4,44,"
O'Learys’ story is a love story from Nantucket Island in Boston. It is the love story with Boston and the sports bars, the food, the culture and the woman who gave O'Learys its name. The people, passion for sports, green walls, relaxing feeling, traditional American food, atmosphere, Boston teams and their professional players, traditions, the mixture of food, drinks, sports and people and the romantic feeling - all these are the common thread that holds O'Learys together. Less
",,"
2nd Level ","
","
+971 9 223 5356 ",Fujairah Mall,https://www.theentertainerme.com/outlets/olearys-sports-restaurant/detail?o=23004&m=13830
734,Olival,Mediterranean,0,0,"
Nestled in the lush green gardens, Olival is a rustic and earthy yet vibrant venue, offering the best flavours of delicious Mediterranean cuisines as served in traditional Mediterranean taverns. Enjoy sumptuous delicacies, including fresh daily catches from our seafood menu as well as freshly picked oysters from our featured oyster bar. Set in a luxurious alfresco setting among olive trees and greenery, creating the perfect ambience for a vibrant and exuberant dining experience. Less
",https://www.habtoorgranddining.com/,"
Resort Garden ","
Dubai Marina ","
+971 4 408 4257 ","Habtoor Grand Resort, Autograph Collection",https://www.theentertainerme.com/outlets/olival/detail?o=84299&m=49047
735,Once Upon A Bite,,0,0,"
Once Upon a Bite is a semi self-service, multicuisine, fast-casual restaurant, serving lip-smacking food across various categories like paranthas, wraps, pasta, wok, salads and an amazing range of hot and cold beverages. Once Upon a Bite celebrates the nostalgia of people, places, tastes and conversations right on your plate. All for your love of ""Chatter On A Platter""!! Less
",,"
F&B 4, Wasl Opal, Near GPO ","
","
+971 4 232 9028 ",Al Karama,https://www.theentertainerme.com/outlets/once-upon-a-bite/detail?o=84725&m=49157
736,Open Sesame,Middle Eastern,0,0,"
Discover fresh twists on local favourites in casual dishes inspired by Mediterranean cuisine alongside speciality coffee from Café Rider Custom Roastery.
As you’d expect, there’s a focus on showcasing locally sourced produce and traditional cooking techniques, while keeping things fresh by throwing in some unexpected new twists.
Aficionados will also find an eclectic spread of organic wines, with a focus on quality product from emerging regions, alongside exceptional speciality coffee from local artisans Café Rider Custom Roastery. Less
",,"
Ground Level ","
","
+971 4 210 2222 ",Hotel Indigo Dubai Downtown,https://www.theentertainerme.com/outlets/open-sesame/detail?o=91981&m=52653
737,Orchid Restaurant, Read Reviews,4.5,38,,,"
Tower 3, 1st Level ","
","
+971 6 703 1111 ",Ramada Hotel & Suites by Wyndham Ajman,https://www.theentertainerme.com/outlets/orchid-restaurant/detail?o=94898&m=54060
738,Oregano, Read Reviews,4,40,"
Indulge in the true flavours of Italian cuisine at Oregano. Oregano celebrates the culinary brilliance of traditional Ligurian recipes handed down by generations. The menu boasts a wide variety of home-made pasta, gnocchi, pizza, salad and specials such as the herb-crusted salmon and pollo affumicato (smoked chicken). The traditional menu has recently made room for a selection of whole-wheat pizza and pasta for the more health conscious; these dishes are not just healthy but also great tasting! Less
",http://www.oreganorestaurants.com,"
Cedre Community Centre ","
Dubai Silicon Oasis ","
+971 4 379 3300 ",Dubai Silicon Oasis,https://www.theentertainerme.com/outlets/oregano/detail?o=1475&m=946
739,Organic Press Juices Co.,Healthy,0,0,"
Organic Press is an idea conceived and brought to life by two health-conscious brothers. They introduced the concept of cold-pressed simply because the action of hydraulically pressing fresh fruits and vegetables between two steel plates doesn’t heat or oxidize the produce. The result is a nutritionally packed, fresh juice that is loaded with enzymes, vitamins, trace minerals and other vital elements the human body needs. Less
",http://www.organicpress.com,"
Light Commercial Tower, Shop No 9 ","
Al Barsha ","
+971 4 553 0923 ",Al Barsha,https://www.theentertainerme.com/outlets/organic-press-juices-co/detail?o=87565&m=50358
740,Orient Cafe,Cafe,0,0,"
Novotel Sharjah Expo Centre Hotel makes every moment matter with 2 great restaurants, including Orient Café. A 20-minute drive from Sharjah International Airport and just a few minutes' drive from all the leisure locations. Less
",,"
Al Khan ","
","
+971 6 599 0500 ",Novotel Sharjah Expo Centre,https://www.theentertainerme.com/outlets/orient-cafe/detail?o=90501&m=52209
741,Original Wings and Rings, Read Reviews,4.5,539,"
Original Wings and Rings is home of the buffalo, a glorious beast. This is where you find the finest wings, bold burgers and tasty, chopped in-house salads. We made a promise way back in ’84 when we served our very first wing to give America the absolute finest wings, along with more sauce combinations and heat levels than ever before seen. Today, we still blend our signature sauces from our original recipes and make our home-made bleu cheese dressing fresh each morning. That’s wing commitment! Less
",https://ae.bwr-intl.com,"
Liberty House, Level C ","
Dubai International Financial Centre ","
+971 4 359 6900 ",Dubai International Financial Centre,https://www.theentertainerme.com/outlets/original-wings-and-rings/detail?o=7841&m=4282
742,Orphic,,0,0,"
Whether it is Italian freshly brewed coffee in the morning, a selection of fine pastries during the day or a refreshing drink in the evening, Orphic is the place to be at. Sit down, relax and enjoy yourself in this unique atmosphere. Less
",http://www.stelladimare.com/dubai_marina_hotel/,"
Ground Level ","
Dubai Marina ","
+971 4 563 5555 ",Stella Di Mare Hotel,https://www.theentertainerme.com/outlets/orphic/detail?o=67347&m=38898
743,Ostro, Read Reviews,4.5,353,"
Escape from the city and retreat to a dining oasis where rich flavours from across the Mediterranean are blended with healthy gourmet food, fresh from our open kitchen. A memorable experience for all city gourmands, either indoors or on our terrace at Ostro. Less
",http://ostrodubai.com/,"
Ground Level ","
Barsha Heights ","
+971 4 567 2246 ",dusitD2 kenz hotel,https://www.theentertainerme.com/outlets/ostro/detail?o=32995&m=19730
744,Oud Lounge,,0,0,"
Located on the ground level next to the front desk, Oud is an excellent meeting hub with direct access to Bay Square. Ideal for business executives, private discussions and hotel leisure guests to meet up before exploring the city, Oud offers high-quality coffee, tea and Nini Italian gelato, complemented by light food bites. Less
",http://doubletree3.hilton.com/en/hotels/uae/doubletree-by-hilton-dubai-business-bay-DXBBBDI/index.html,"
Lobby/Ground Level ","
Business Bay ","
+971 4 245 4263 ",Business Bay,https://www.theentertainerme.com/outlets/oud-lounge/detail?o=36916&m=22090
745,OUIBar + Terrace,International,0,0,"
Visit our all-day restaurant OUIBar + Terrace at street level for a mix of local and International dishes, all prepared with local ingredients. Casual and cosy, our restaurant is the perfect entry point to Dubai with a menu of mezze plates packed with bold flavours next to International classics made to please the pickiest of eaters. Choose between indoor and outdoor seating and look out for live music and entertainment nights in one of Dubai’s most happening venues. Less
",http://www.radissonhotels.com/RED,"
Ground Level ","
Dubai Silicon Oasis ","
+971 4 571 4343 ",Radisson RED Hotel Dubai Silicon Oasis,https://www.theentertainerme.com/outlets/ouibar-terrace/detail?o=84932&m=48155
746,Ovenstory,,0,0,"
Oven Story Pizza is a well-known pizza brand, known for its cheese offerings on pizza. It serves 11-inch hand-tossed pizza with four unique cheese flavours - chipotle, tandoori, peri-peri and el-classico cheese. Their aim is to serve pizza with these next-level-cheese to our patrons and create an extraordinary experience for them. With innovation at its core, Oven Story exhibits the true spirit of a rebel who refuses to stick with tried and tested ways and looks for novel ways to ensure customer delight. Less
",,"
R507, Wasl Amber, Near Karama Medical Center ","
","
+971 4 247 1133 ",Al Karama,https://www.theentertainerme.com/outlets/ovenstory/detail?o=89629&m=51676
747,Ovenstory - JLT,,0,0,"
Oven Story Pizza is a well-known pizza brand, known for its cheese offerings on pizza. It serves 11-inch hand-tossed pizzas with four unique cheese flavours - chipotle, tandoori, peri-peri and el-classico cheese. Their aim is to serve pizzas with these next-level-cheese to our patrons and create an extraordinary experience for them. With innovation at its core, Oven Story exhibits the true spirit of a rebel, who refuses to stick with tried and tested ways and looks for novel ways to ensure customer delight. Less
",,"
Churchill Tower, Shop No. 14 ","
","
+971 4 247 1133 ",Business Bay.,https://www.theentertainerme.com/outlets/ovenstory-jlt/detail?o=82909&m=48476
748,OYE!,International,0,0,"
OYE! is a semi self-service, multicuisine, fast-casual restaurant, serving lip-smacking food across various categories. Celebrates the nostalgia of people, places, tastes and conversations right on your home. Less
",,"
F&B 4, Wasl Opal, Near GPO ","
","
+971 4 232 9028 ",Al Karama,https://www.theentertainerme.com/outlets/oye/detail?o=87777&m=50478
749,PAAVO'S Pizza,Pizza,3.5,34,"
Paavo’s is a trendy pizza concept that provides customers with the opportunity to create their own artisan-style pizza. It proposes a break from the traditional ready-made menus to a more customer-oriented design to boost consumer satisfaction. It offers innovation and creativity, building individualised masterpieces from the finest fresh ingredients and utilising delicious signature recipes. The Paavo’s experience is about having fun. It invites customers to be adventurous and to enjoy pizzas that are unique to their tastes and desires. Less
",,"
Beirut Street, D-60, Near Madina Mall ","
","
600 500 501 ",Al Qusais,https://www.theentertainerme.com/outlets/paavo-s-pizza/detail?o=8591&m=4677
750,Pacific Groove, Read Reviews,5,31,"
Fuel yourself with heart-felt conversations and down-to-earth eats while listening to the smooth sounds of jazz at Pacific Groove. Featuring a state-of-the-art kitchen and an impressively large grill, our theatrical chefs can be seen sizzling wood-fired steaks and seafood, hand crafting Californian rolls, shucking fresh oysters and chopping seasonal ingredients for that authentic “see, smell and savour” experience. Less
",https://www.paramounthotelsdubai.com/restaurants-bars/pacific-groove,"
M Level ","
Business Bay ","
+971 4 246 6641 ",Paramount Hotel Dubai,https://www.theentertainerme.com/outlets/pacific-groove/detail?o=90615&m=52220
751,Pacifico Terrace,Mediterranean,0,0,,https://www.grandcosmopolitandubai.com/,"
Rooftop ","
Al Barsha ","
+971 4 512 22 44 ",Grand Cosmopolitan Hotel,https://www.theentertainerme.com/outlets/pacifico-terrace/detail?o=93374&m=53511
752,Pad Thai,,0,0,"
Pad Thai provides fast, affordable and fresh Thai food, tailored to your tastes and prepared fresh when you order. Pad Thai menu is built around a handful of authentic Thai dishes, such as pad Thai, pad sew, tom yum soup and curry. Less
",,"
1st Level ","
","
+971 5 5791 1669 ",Mall of the Emirates,https://www.theentertainerme.com/outlets/pad-thai/detail?o=61942&m=36240
